3R,3545,DME,4029,TIV,1743,,0,SU9 73G,95.86
HQ,2684,BRU,302,TIV,1743,,0,320,52.06
HQ,2684,TIV,1743,BRU,302,,0,320,87.64
JU,19582,BEG,1739,TIV,1743,,0,AT7,89.51
JU,19582,TIV,1743,BEG,1739,,0,AT7,62.03
S7,4329,DME,4029,TIV,1743,Y,0,738,29.30
S7,4329,TIV,1743,DME,4029,Y,0,738,85.42
U6,5234,DME,4029,TIV,1743,,0,320,87.35
U6,5234,LED,2948,TIV,1743,,0,320,22.75
U6,5234,TIV,1743,DME,4029,,0,320,21.41
U6,5234,TIV,1743,LED,2948,,0,320,71.73
YC,9828,DME,4029,TIV,1743,,0,320 321,23.08
YC,9828,TIV,1743,DME,4029,,0,320 321,44.65
M,3539,BEG,1739,TIV,1743,,0,100,29.10
YM,3539,CDG,1382,TGD,1741,,0,100,27.70
YM,3539,CDG,1382,TIV,1743,,0,100,37.33
YM,3539,DME,4029,TGD,1741,,0,E95,93.49
YM,3539,DME,4029,TIV,1743,,0,E95,58.27
YM,3539,DUS,345,TGD,1741,,0,100,51.79
YM,3539,FCO,1555,TGD,1741,,0,E75 100,40.08
YM,3539,FRA,340,TGD,1741,,0,100,76.79
YM,3539,LGW,502,TIV,1743,,0,100,87.36
YM,3539,LJU,1569,TGD,1741,,0,100,27.02
YM,3539,TGD,1741,BEG,1739,,0,100,65.69
YM,3539,TGD,1741,CDG,1382,,0,100,82.01
YM,3539,TGD,1741,DME,4029,,0,E95,45.34
YM,3539,TGD,1741,DUS,345,,0,100,82.57
YM,3539,TGD,1741,FCO,1555,,0,E75 100,99.33
YM,3539,TGD,1741,FRA,340,,0,100,42.23
YM,3539,TGD,1741,LJU,1569,,0,100,57.64
YM,3539,TGD,1741,VIE,1613,,0,100,29.26
YM,3539,TGD,1741,ZRH,1678,,0,100,29.50
YM,3539,TIV,1743,BEG,1739,,0,100,70.59
YM,3539,TIV,1743,CDG,1382,,0,100,28.48
YM,3539,TIV,1743,DME,4029,,0,E95,72.57
YM,3539,TIV,1743,LGW,502,,0,100,97.09
HQ,2684,BRU,302,TIV,1743,,0,320,52.06
JU,19582,BEG,1739,TIV,1743,,0,AT7,89.51
JU,19582,TIV,1743,BEG,1739,,0,AT7,62.03
S7,4329,DME,4029,TIV,1743,Y,0,738,29.30
S7,4329,TIV,1743,DME,4029,Y,0,738,85.42
U6,5234,DME,4029,TIV,1743,,0,320,87.35
U6,5234,LED,2948,TIV,1743,,0,320,22.75
U6,5234,TIV,1743,DME,4029,,0,320,21.41
U6,5234,TIV,1743,LED,2948,,0,320,71.73
YC,9828,DME,4029,TIV,1743,,0,320 321,23.08
YC,9828,TIV,1743,DME,4029,,0,320 321,44.65
YM,3539,BEG,1739,TIV,1743,,0,100,29.10
YM,3539,CDG,1382,TGD,1741,,0,100,27.70
YM,3539,CDG,1382,TIV,1743,,0,100,37.33
YM,3539,DME,4029,TGD,1741,,0,E95,93.49
YM,3539,DME,4029,TIV,1743,,0,E95,58.27
YM,3539,DUS,345,TGD,1741,,0,100,51.79
YM,3539,FCO,1555,TGD,1741,,0,E75 100,40.08
YM,3539,FRA,340,TGD,1741,,0,100,76.79
YM,3539,LGW,502,TIV,1743,,0,100,87.36
YM,3539,LJU,1569,TGD,1741,,0,100,27.02
YM,3539,TGD,1741,BEG,1739,,0,100,65.69
YM,3539,TGD,1741,CDG,1382,,0,100,82.01
YM,3539,TGD,1741,DME,4029,,0,E95,45.34
YM,3539,TGD,1741,DUS,345,,0,100,82.57
YM,3539,TGD,1741,FCO,1555,,0,E75 100,99.33
YM,3539,TGD,1741,FRA,340,,0,100,42.23
YM,3539,TGD,1741,LJU,1569,,0,100,57.64
YM,3539,TGD,1741,VIE,1613,,0,100,29.26
YM,3539,TGD,1741,ZRH,1678,,0,100,29.50
YM,3539,TIV,1743,BEG,1739,,0,100,70.59
YM,3539,TIV,1743,CDG,1382,,0,100,28.48
YM,3539,TIV,1743,DME,4029,,0,E95,72.57
YM,3539,TIV,1743,LGW,502,,0,100,97.09
